"","title","year","fuel","km","price","maker"
"1","기아 카니발 4세대 2.2 디젤 7인승 하이리무진 시그니처","21/09(22년형)","디젤",9,"렌트","기아"
"2","현대 쏘나타 하이브리드 2.0 HEV 인스퍼레이션","20/07(21년형)","가솔린+전기",20000,"3650","현대"
"3","현대 제네시스 쿠페 380 GT RW","10/02","가솔린",60000,"2750","현대"
"4","쉐보레 카마로 SS 6.2 V8","19/01(18년형)","가솔린",6000,"3700","쉐보레"
"5","현대 투싼ix 디젤 LMX20 2WD 프리미엄","09/11(10년형)","디젤",130000,"890","현대"
"6","기아 카니발 4세대 2.2 디젤 7인승 하이리무진 시그니처","21/09(22년형)","디젤",9,"렌트","기아"
"7","제네시스 더 올 뉴 G80 2.5 T-GDi AWD","20/04(21년형)","가솔린",10000,"5800","제네시스"
"8","케이씨모터스 노블클라쎄 카니발","19/08","가솔린",50000,"7000","케이씨모터스"
"9","현대 그랜져IG 3.0 GDI 익스클루시브 스페셜","17/04(18년형)","가솔린",30000,"2990","현대"
"10","현대 LF쏘나타 2.0 CVVL 스마트 스페셜","16/01","가솔린",80000,"1630","현대"
"11","기아 K5 2세대 2.0 가솔린 SX 스타일 에디션","17/11(18년형)","가솔린",40000,"1690","기아"
"12","기아 모하비 KV300 상시4WD","13/10(14년형)","디젤",210000,"1250","기아"
"13","쉐보레 임팔라 2.5 LTZ","16/03","가솔린",80000,"1220","쉐보레"
"14","기아 K5 2세대 1.6 T-GDI SX 프레스티지","17/03","가솔린",70000,"1590","기아"
"15","르노삼성 뉴 SM3 RE","11/02","가솔린",1e+05,"430","르노삼성"
"16","르노삼성 SM7 VQ23 LE","08/01(07년형)","가솔린",130000,"299","르노삼성"
"17","제네시스 G70 3.3 T-GDi AWD 스포츠 슈프림","18/07","가솔린",80000,"3330","제네시스"
"18","현대 엑센트1.6 VGT 모던","15/09(16년형)","디젤",80000,"790","현대"
"19","제네시스 EQ900 5.0 GDi AWD","16/10(17년형)","가솔린",40000,"4800","제네시스"
"20","현대 제네시스 쿠페 200 터보 P","09/11(10년형)","가솔린",170000,"750","현대"
