"","comic.name","comic.summary","comic.grade"
"1","김치걸 x 밀크티보이","한국여자+홍콩남자","9.87"
"2","눈사람사람","사람이 되고 싶어?","9.30"
"3","아빠는 N살","아빠 4컷 그림일기","9.91"
"4","산군대잔치","강아지 산군의 일상","9.86"
"5","미필은 노하이","대한군필 만세!!","9.85"
"6","태풍의 빈티지샵","깡패 잡는 사장님","9.67"
"7","지킬 앤 킬","지켜야 할 애인을","8.00"
"8","팬 건 네가 처음","여우와 소년의 격돌","8.96"
"9","블루랜드","색을 잃고 살아남다","9.90"
"10","그들이 사는 세상","과고에서 1등하기","8.46"
"11","졸렬☆다이나믹","다이나믹 초딩들","9.92"
"12","노른자들","늘 혼자들의 이야기","9.87"
"13","500원 토끼","500원토끼의 일상","9.73"
"14","식봉툰","일상적인 이야기","8.81"
"15","오늘부터 G.A.B님과 함께 살게 되었습니다","이 보안만화,웃기다","8.25"
"16","내일은 낯선 행성을 걷는다","밤 9시의 산책","9.83"
"17","오디네리 피플","우리집, 당신집, 누군가의 집. 그저 평범한 가족이야기!","9.40"
"18","원인탐구생활","일상, 고양이","9.89"
"19","THE","자신을 찾을 이야기","9.48"
"20","너구리네 육아일기","육아일기","9.77"
"21","어둠의 일상툰","어둠의 일상","9.69"
"22","너만 바라 봄","캠퍼스 로맨스","9.48"
"23","나를 위한 봄","일상학원로맨스","8.54"
"24","로맨스 판타지 아닙니다","로판 아니고 판스","9.55"
"25","로로의 일본생활 다이어리","일본 먹부림 일기","9.82"
"26","여신님의 키링남은 불로불사!?","동양 판타지 청춘물","9.60"
"27","찌복툰","작가의 코믹 일상","9.62"
"28","유산은 처음이라","또 유산입니다","9.67"
"29","안녕오존","오존의 일상개그툰!","9.92"
"30","자라나라 모리모리","털이 없는 모리의삶","9.85"
"31","기후위기인간","지구와나의 연결고리","9.88"
"32","가족입니다.","가족 이야기","9.01"
"33","백일고 상상클럽","우리들의 상상이야기","9.87"
"34","마루하루","11살 강아지 마루","9.81"
"35","방구석수필","실화 단편 에피소드","9.93"
"36","이프위","불과 물의 연애","9.85"
"37","살귀","살인귀들","9.24"
"38","소환진이 좀 이상해 보이는 건 기분 탓이겠지","판타지!","9.93"
"39","이상낙원","마법 학원 판타지","9.89"
"40","집에서 뒹굴뒹굴","집에서 애둘 키우기","9.86"
"41","버츄얼 이온","버튜버가 된 소녀","7.49"
"42","고고고","집사가 되어라!!!","9.91"
"43","오늘의 난","오늘의 난, 난그림","9.56"
"44","채채쓰의 웃픈일기","왜 삶은 웃플까요?","9.83"
"45","꼬밍 베이커리","소원의 빵, 꼬밍","9.74"
"46","집순이에 대하여","집순이들의 일상","9.80"
"47","과학고 생존일지","과학고에 간 문과생","9.83"
"48","푸들가족","날리부루스윌리스","9.02"
"49","파운드캣","식빵을 닮은 고양이","9.89"
"50","퀸비","SF,액션,서바이벌","8.56"
"51","일상견문록","여러나라 일상이야기","9.88"
"52","꿀꾸리? 꿈꾸리!","중학생 꾸리일기-","8.74"
"53","Baby Boy Brother","연하남연애시뮬레이션","9.75"
"54","나는 오늘, 퇴사를 하였다.","퇴사, 이후 이야기","9.68"
"55","종말 본능","종말 속 괴물 소년","9.58"
"56","게으른 고양이의 soso한 카페이야기","카페운영일상툰","9.84"
"57","고막남친","순정코믹 학원성장물","9.30"
"58","딴 짓이 제일 재밌어","딴 짓 찾아 놀기","9.75"
