"","upNm","pgmNm","targetNm","price"
"1","금천청소년수련관","아침B-청소년","주2회수영-청소년(구)","36000"
"2","금천청소년수련관","난초A","초4~24세미만","41000"
"3","금천청소년수련관","아침C(5회)-청소년","주5회수영-청소년(구)","56000"
"4","시립서대문청소년센터","경기민요와 장구 A","7세~초등","40000"
"5","시립서대문청소년센터","국가공인 한자지도사","성인","30000"
"6","시립서대문청소년센터","기린A","초2~5","30000"
"7","시립서대문청소년센터","상어1-3(초급)","초등학생","40000"
"8","시립서대문청소년센터","셀프리더쉽&표현력 스피치 A","초3~6","33000"
"9","시립서대문청소년센터","속성 제빵자격증반","초6~성인(3개월)","150000"
"10","시립서대문청소년센터","신나는미술세상(C)","5~6세","30000"
"11","시립서대문청소년센터","신나는미술세상(D)","초등학생","30000"
"12","시립서대문청소년센터","죠스2-1(상급)","초등학생","33000"
"13","시립서대문청소년센터","죠스2-1(상급3개월) ","초등학생","89100"
"14","시립서대문청소년센터","죠스2-2(중급)","초등학생","33000"
"15","광진청소년센터","목요바이올린(7세-성인)B","성인","61000"
"16","마포청소년수련관","재미있는통기타교실(토12시40분)","초3-성인","35000"
"17","동대문청소년수련관","청소년성장집단상담","구분없음","1000000"
"18","시립서대문청소년센터","방학)체스(A)","7세~초등","35000"
"19","시립서대문청소년센터","방학)체스(B)","7세~초등","35000"
"20","시립서대문청소년센터","실버 (3개월)","성인,청소년(14세부터)","142560"
"21","금천청소년수련관","난초A중급-청소년","주3회수영-청소년","41000"
"22","금천청소년수련관","매화C(5회)","초4~24세미만","56000"
"23","금천청소년수련관","물개유아A","만5세~초3","36000"
"24","창동청소년센터","9/7 1일특강 취미난타(성인)","성인","10000"
"25","시립서대문청소년센터","통기타B","초등-청소년","35000"
"26","창동청소년센터","특)우드아트","청소년","10000"
"27","노원청소년센터","21학년-(수업료)-7세 사자","체르니30(청소년)","610000"
"28","화곡청소년센터","미라 소세지 빵10/16(토)A-10시30분(초1-초6)","초등","6000"
"29","중구청소년센터","[12월]주말농구대관-최대욱","누구나(화목)","110000"
"30","잠실청소년센터","우쿨렐레 2회","구분없음","17500"
"31","잠실청소년센터","체스 2회","구분없음","0"
"32","창동청소년센터","꿈을빚다 굽지않은도자기-도예토공예12/14B(7세~초등)","5세~12세","10000"
"33","광진청소년센터","목요바이올린(7세-성인)B","청소년","55000"
"34","광진청소년센터","보컬트레이닝A","초등-성인","50000"
"35","동대문청소년센터","창의푸드봉사동아리","청소년","10000"
"36","금천청소년수련관","아침A중급-청소년","주3회수영-청소년","41000"
"37","금천청소년수련관","아침A초급-청소년","주3회수영-청소년","41000"
"38","금천청소년수련관","아침B 초급","강습2+자유4","63800"
"39","금천청소년수련관","심야A상급-청소년(3+3)","강습3+자유3","60000"
"40","금천청소년수련관","물개A-성인","성인여성(구)","51700"
"41","금천청소년수련관","단기속성(월,수,금)-6시","24세미만","135670"
"42","금천청소년수련관","백합A(3+3)","초4~24세미만","60000"
"43","화곡청소년센터","동화연계 창의가베A-화-16시(6세-7세)","유아","28000"
"44","동대문청소년수련관","아침수영C-상급(월수금)","청소년","49500"
"45","동대문청소년수련관","아침수영C-상급(월수금)","중.고등학생","43000"
"46","동대문청소년수련관","아침수영C-상급(화목)","성인","45000"
"47","창동청소년센터","LA찹쌀파이 6/10일(중1~성인)","구분없음","5000"
"48","마천청소년센터","아트플러스","초등생","60000"
"49","동대문청소년센터","프로그램실 대관","","66000"
"50","화곡청소년센터","홍익창의아트워크A-목-16시(6세-7세)","유아","30000"
"51","금천청소년수련관","아침B초급-청소년","주2회수영-청소년","36000"
"52","금천청소년수련관","난초A(3+3)","초4~24세미만","60000"
"53","창동청소년센터","주니어펀펀잉글리시B(6~7세)","4세~15세","80000"
"54","금천청소년수련관","아침C상급-청소년","수영주6회-청소년","60000"
"55","금천청소년수련관","아침C중급-청소년","주5회수영-청소년","56000"
"56","시립구로청소년센터","토탈공예가체험","구분없음","11000"
"57","금천청소년수련관","매화A-청소년","주3회수영-청소년(구)","41000"
"58","광진청소년센터","05/14(금) 별빛산책","초.중.고","6000"
"59","동대문청소년수련관","아침수영B-중급","성인","78000"
"60","금천청소년수련관","새벽A초급-청소년(3+3)","강습3+자유3","60000"
"61","창동청소년센터","서예A(초등~성인)","9세~24세","35000"
"62","동대문청소년수련관","아침수영C-상급(화목)","청소년","40500"
"63","금천청소년수련관","매화C(5회)","수영5회(구)","69300"
"64","동대문청소년수련관","어린이수영B-초급(2)","초등생","32000"
"65","잠실청소년센터","프리테니스B","청소년","105000"
"66","동대문청소년수련관","오전수영B-기초","성인","45000"
"67","동대문청소년수련관","저녁수영3-기초","중.고등학생","43000"
